run,candidate_idx,candidate_name,duration_ns,cpu_cycles,system
31,2,Will,2777600,27780,secure
31,3,George,2423500,24239,secure
31,4,Jess,2715700,27161,secure
32,0,Marcus,2532400,25328,secure
32,1,Trey,4327300,43277,secure
32,2,Will,2625300,26257,secure
32,3,George,2837400,28378,secure
32,4,Jess,3553800,35543,secure
33,0,Marcus,2905200,29056,secure
33,1,Trey,3048200,30487,secure
33,2,Will,3320600,33211,secure
33,3,George,2308700,23092,secure
33,4,Jess,2788700,27893,secure
34,0,Marcus,4256300,42569,secure
34,1,Trey,3084600,30850,secure
34,2,Will,2834500,28349,secure
34,3,George,3539400,35397,secure
34,4,Jess,2731500,27319,secure
35,0,Marcus,4030200,41134,secure
35,1,Trey,4025600,40260,secure
35,2,Will,3945100,39455,secure
35,3,George,4383000,43834,secure
35,4,Jess,4212700,42133,secure
36,0,Marcus,2807900,28085,secure
36,1,Trey,2392700,23932,secure
36,2,Will,2961100,29616,secure
36,3,George,3114200,31146,secure
36,4,Jess,4268400,42688,secure
37,0,Marcus,2480600,24811,secure
37,1,Trey,2514600,25150,secure
37,2,Will,2288600,22893,secure
37,3,George,2337400,23378,secure
37,4,Jess,2320700,23211,secure
38,0,Marcus,4434900,44354,secure
38,1,Trey,2718100,27186,secure
38,2,Will,2506000,25064,secure
38,3,George,2581100,25816,secure
38,4,Jess,4300800,43013,secure
39,0,Marcus,4071700,40721,secure
39,1,Trey,4052200,40526,secure
39,2,Will,3785500,37859,secure
39,3,George,3877600,38781,secure
39,4,Jess,3065900,30664,secure
40,0,Marcus,2339000,23395,secure
40,1,Trey,2657100,26575,secure
40,2,Will,2353500,23539,secure
40,3,George,2921500,29220,secure
40,4,Jess,2783000,27835,secure
41,0,Marcus,3553000,35535,secure
41,1,Trey,3052900,30534,secure
41,2,Will,4278400,42789,secure
41,3,George,2891600,28921,secure
41,4,Jess,2906200,29067,secure
42,0,Marcus,2558100,25585,secure
42,1,Trey,4373400,43739,secure
42,2,Will,2788600,27892,secure
42,3,George,3651200,36517,secure
42,4,Jess,2460000,24605,secure
43,0,Marcus,2367500,23679,secure
43,1,Trey,2323600,23240,secure
43,2,Will,2328000,23284,secure
43,3,George,2293500,22939,secure
43,4,Jess,2275900,22764,secure
44,0,Marcus,2926100,29265,secure
44,1,Trey,2859600,28601,secure
44,2,Will,2623100,26236,secure
44,3,George,2515200,25157,secure
44,4,Jess,3058300,31176,secure
45,0,Marcus,3451400,34518,secure
45,1,Trey,3297000,32974,secure
45,2,Will,3509100,35095,secure
45,3,George,3747900,37485,secure
45,4,Jess,4255500,42559,secure
46,0,Marcus,2335200,23355,secure
46,1,Trey,2499200,24996,secure
46,2,Will,3036800,31184,secure
46,3,George,2501800,25023,secure
46,4,Jess,2349800,23502,secure
47,0,Marcus,3443500,34441,secure
47,1,Trey,2720300,27207,secure
47,2,Will,4019900,40203,secure
47,3,George,3385100,33857,secure
47,4,Jess,3036500,30369,secure
48,0,Marcus,3025900,30263,secure
48,1,Trey,2799100,27996,secure
48,2,Will,2561500,25619,secure
48,3,George,2618000,26185,secure
48,4,Jess,2403900,24043,secure
49,0,Marcus,2421800,24222,secure
49,1,Trey,3289100,32895,secure
49,2,Will,2430200,24308,secure
49,3,George,2441700,24421,secure
49,4,Jess,2927600,29281,secure
50,0,Marcus,3824300,38247,secure
50,1,Trey,3296600,32971,secure
50,2,Will,3101800,31023,secure
50,3,George,3704100,37045,secure
50,4,Jess,3920800,39213,secure
51,0,Marcus,2895500,28959,secure
51,1,Trey,2322300,23227,secure
51,2,Will,3310200,33106,secure
51,3,George,3160800,31614,secure
51,4,Jess,3104100,31044,secure
52,0,Marcus,3636600,36370,secure
52,1,Trey,4182800,41833,secure
52,2,Will,3596200,35967,secure
52,3,George,3415200,34157,secure
52,4,Jess,3221800,32224,secure
53,0,Marcus,3482800,34833,secure
53,1,Trey,3882200,38826,secure
53,2,Will,3024100,30245,secure
53,3,George,3265400,32658,secure
53,4,Jess,2472900,24733,secure
54,0,Marcus,3221500,32221,secure
54,1,Trey,2958700,29592,secure
54,2,Will,3143800,31443,secure
54,3,George,2758100,27586,secure
54,4,Jess,2761800,27623,secure
55,0,Marcus,2962300,29628,secure
55,1,Trey,2650200,26506,secure
55,2,Will,3021100,30216,secure
55,3,George,2545000,25454,secure
55,4,Jess,2590000,25905,secure
56,0,Marcus,2312700,23130,secure
56,1,Trey,3228100,32289,secure
56,2,Will,2507800,25083,secure
56,3,George,2414900,24153,secure
56,4,Jess,2585600,26566,secure
57,0,Marcus,4013100,40135,secure
57,1,Trey,2896100,28966,secure
57,2,Will,4231000,42314,secure
57,3,George,3308100,33512,secure
57,4,Jess,2845400,28459,secure
58,0,Marcus,3092400,30928,secure
58,1,Trey,3402700,34032,secure
58,2,Will,3457700,34580,secure
58,3,George,3316600,33171,secure
58,4,Jess,2441000,24414,secure
59,0,Marcus,3137800,31382,secure
59,1,Trey,2266300,22667,secure
59,2,Will,2637400,27011,secure
59,3,George,2470600,24710,secure
59,4,Jess,2537300,25377,secure
60,0,Marcus,2879100,28797,secure
60,1,Trey,2722600,27229,secure
60,2,Will,2893900,28945,secure
60,3,George,2763400,27638,secure
60,4,Jess,2481200,24816,secure
61,0,Marcus,2598000,25984,secure
61,1,Trey,2287400,22878,secure
61,2,Will,2609800,26102,secure
61,3,George,2469600,24700,secure
61,4,Jess,2556200,25566,secure
62,0,Marcus,2321900,23223,secure
62,1,Trey,2262500,22629,secure
62,2,Will,2469200,24697,secure
62,3,George,2449500,24500,secure
62,4,Jess,2290500,22909,secure
63,0,Marcus,2922300,29230,secure
63,1,Trey,2493300,24937,secure
63,2,Will,2740200,27406,secure
63,3,George,2442700,24432,secure
63,4,Jess,3125800,31262,secure
64,0,Marcus,3641800,36422,secure
64,1,Trey,2302600,23031,secure
64,2,Will,2482600,24830,secure
64,3,George,3522100,35226,secure
64,4,Jess,2541800,25422,secure
65,0,Marcus,3174600,31751,secure
65,1,Trey,3167300,31677,secure
65,2,Will,3695000,36956,secure
65,3,George,3781400,37821,secure
65,4,Jess,3586100,35864,secure
66,0,Marcus,2257100,22575,secure
66,1,Trey,2701400,27018,secure
66,2,Will,2423500,24240,secure
66,3,George,2391600,23920,secure
66,4,Jess,2619600,26200,secure
67,0,Marcus,2651800,26523,secure
67,1,Trey,2646000,26464,secure
67,2,Will,2631300,26317,secure
67,3,George,2681600,26821,secure
67,4,Jess,2436800,24372,secure
68,0,Marcus,3051500,30519,secure
68,1,Trey,2379300,23797,secure
68,2,Will,3227100,32276,secure
68,3,George,3124700,31252,secure
68,4,Jess,2326900,23272,secure
69,0,Marcus,2785700,27862,secure
69,1,Trey,3413600,34141,secure
69,2,Will,3314700,33151,secure
69,3,George,2354200,23546,secure
69,4,Jess,2797500,27980,secure
70,0,Marcus,2621300,26217,secure
70,1,Trey,3679300,36799,secure
70,2,Will,2685300,26857,secure
70,3,George,4107500,41079,secure
70,4,Jess,2616900,26173,secure
71,0,Marcus,2503700,25042,secure
71,1,Trey,3682500,36829,secure
71,2,Will,3493000,34934,secure
71,3,George,2471900,24723,secure
71,4,Jess,2307800,23082,secure
72,0,Marcus,2428000,24285,secure
72,1,Trey,2358200,23586,secure
72,2,Will,3819100,38196,secure
72,3,George,2591500,25918,secure
72,4,Jess,3655000,36553,secure
73,0,Marcus,2358200,23586,secure
73,1,Trey,3010100,30106,secure
73,2,Will,2696400,26968,secure
73,3,George,3903800,39042,secure
73,4,Jess,3250000,32504,secure
74,0,Marcus,2745200,27456,secure
74,1,Trey,3886800,38873,secure
74,2,Will,3588800,35894,secure
74,3,George,2439900,24403,secure
74,4,Jess,2443300,24437,secure
75,0,Marcus,2843700,28441,secure
75,1,Trey,2506400,25068,secure
75,2,Will,2843500,28439,secure
75,3,George,2906800,29072,secure
75,4,Jess,2501000,25016,secure
76,0,Marcus,3658000,36583,secure
76,1,Trey,2761300,27617,secure
76,2,Will,2670600,26710,secure
76,3,George,3518200,35186,secure
76,4,Jess,2755600,27560,secure
77,0,Marcus,3943600,39440,secure
77,1,Trey,2321400,23219,secure
77,2,Will,2314500,23149,secure
77,3,George,4264100,42646,secure
77,4,Jess,2312400,23128,secure
78,0,Marcus,2739100,27394,secure
78,1,Trey,2399900,24003,secure
78,2,Will,2956700,29571,secure
78,3,George,2934500,29348,secure
78,4,Jess,2623000,26236,secure
79,0,Marcus,3257700,32583,secure
79,1,Trey,4720200,47206,secure
79,2,Will,4551200,45515,secure
79,3,George,3247700,32480,secure
79,4,Jess,2372300,23727,secure
80,0,Marcus,2428100,24284,secure
80,1,Trey,2404800,24053,secure
80,2,Will,2336400,23368,secure
80,3,George,2318800,23193,secure
80,4,Jess,2316900,23173,secure
81,0,Marcus,2394800,23952,secure
81,1,Trey,2901300,29016,secure
81,2,Will,2511200,25116,secure
81,3,George,2327300,23277,secure
81,4,Jess,2915500,29160,secure
82,0,Marcus,2412200,24126,secure
82,1,Trey,2391400,23918,secure
82,2,Will,2560200,25606,secure
82,3,George,2350900,23513,secure
82,4,Jess,2410800,24111,secure
83,0,Marcus,2306400,23067,secure
83,1,Trey,2651700,26523,secure
83,2,Will,2456700,24572,secure
83,3,George,2940300,29408,secure
83,4,Jess,2928400,29289,secure
84,0,Marcus,3070400,30708,secure
84,1,Trey,2363900,23644,secure
84,2,Will,2901700,29022,secure
84,3,George,2686300,26867,secure
84,4,Jess,2676600,26770,secure
85,0,Marcus,2304800,23053,secure
85,1,Trey,2527400,25277,secure
85,2,Will,2506400,25068,secure
85,3,George,2326900,23273,secure
85,4,Jess,2301100,23015,secure
86,0,Marcus,2640700,26412,secure
86,1,Trey,2853300,28537,secure
86,2,Will,2866900,28674,secure
86,3,George,2621000,26215,secure
86,4,Jess,2577200,25916,secure
87,0,Marcus,2460500,24609,secure
87,1,Trey,2606000,26064,secure
87,2,Will,3101700,31021,secure
87,3,George,2898900,28993,secure
87,4,Jess,3105500,31060,secure
88,0,Marcus,4004400,40048,secure
88,1,Trey,2809200,28096,secure
88,2,Will,2878400,28788,secure
88,3,George,2894000,28945,secure
88,4,Jess,3353100,34212,secure
89,0,Marcus,2667900,26683,secure
89,1,Trey,2549400,25498,secure
89,2,Will,2263900,22642,secure
89,3,George,2661200,26617,secure
89,4,Jess,2890400,28908,secure
90,0,Marcus,2600300,26007,secure
90,1,Trey,2356900,23573,secure
90,2,Will,2697800,26983,secure
90,3,George,2359400,23598,secure
90,4,Jess,2513900,25144,secure
91,0,Marcus,2743100,28069,secure
91,1,Trey,2632500,26330,secure
91,2,Will,3161200,31617,secure
91,3,George,3024700,30251,secure
91,4,Jess,2317600,23180,secure
92,0,Marcus,2423000,24233,secure
92,1,Trey,2495900,24963,secure
92,2,Will,2651500,26519,secure
92,3,George,2397600,23980,secure
92,4,Jess,2396700,23971,secure
93,0,Marcus,3806400,38068,secure
93,1,Trey,3266400,32669,secure
93,2,Will,2781700,27821,secure
93,3,George,3448000,34485,secure
93,4,Jess,3083800,30842,secure
94,0,Marcus,2608600,26090,secure
94,1,Trey,2488300,24888,secure
94,2,Will,2595800,25962,secure
94,3,George,2608700,26091,secure
94,4,Jess,2760600,27611,secure
95,0,Marcus,2307800,23081,secure
95,1,Trey,2403700,24042,secure
95,2,Will,3086900,30873,secure
95,3,George,3086800,30872,secure
95,4,Jess,2360000,23604,secure
96,0,Marcus,3664700,36650,secure
96,1,Trey,2383300,23837,secure
96,2,Will,2376600,23770,secure
96,3,George,3629200,36296,secure
96,4,Jess,2334800,23352,secure
97,0,Marcus,2315400,23157,secure
97,1,Trey,2383900,23843,secure
97,2,Will,2365400,23659,secure
97,3,George,2841600,28420,secure
97,4,Jess,2436500,24370,secure
98,0,Marcus,3824100,38245,secure
98,1,Trey,2313000,23134,secure
98,2,Will,2317900,23183,secure
98,3,George,2836900,28373,secure
98,4,Jess,4191000,41915,secure
99,0,Marcus,3040800,30412,secure
99,1,Trey,4042000,40425,secure
99,2,Will,2318000,23185,secure
99,3,George,2407000,24075,secure
99,4,Jess,2690000,26906,secure
100,0,Marcus,2967400,29678,secure
100,1,Trey,2794200,27947,secure
100,2,Will,2756000,27565,secure
100,3,George,2500200,25006,secure
100,4,Jess,2918200,29186,secure
101,0,Marcus,3194400,31949,secure
101,1,Trey,3166000,31664,secure
101,2,Will,2453700,24541,secure
101,3,George,2471900,24725,secure
101,4,Jess,2488800,24892,secure
102,0,Marcus,2680500,26808,secure
102,1,Trey,3004000,30044,secure
102,2,Will,3058100,30586,secure
102,3,George,3018400,30188,secure
102,4,Jess,2946200,29465,secure
103,0,Marcus,2593800,25943,secure
