run,candidate_idx,candidate_name,duration_ns,cpu_cycles,system
0,0,Marcus,2704100,27047,parallel
0,1,Trey,3369100,33696,parallel
0,2,Will,2709200,27095,parallel
0,3,George,3155500,31560,parallel
0,4,Jess,3457500,34578,parallel
1,0,Marcus,3511300,35116,parallel
1,1,Trey,2355900,23563,parallel
1,2,Will,2522800,25232,parallel
1,3,George,2369800,23701,parallel
1,4,Jess,3506500,35070,parallel
2,0,Marcus,2554100,25546,parallel
2,1,Trey,2896600,28970,parallel
2,2,Will,3277700,32781,parallel
2,3,George,2489500,24900,parallel
2,4,Jess,2759000,27595,parallel
3,0,Marcus,3674500,36747,parallel
3,1,Trey,2632100,26326,parallel
3,2,Will,3862700,38631,parallel
3,3,George,3567900,35684,parallel
3,4,Jess,3837200,38376,parallel
4,0,Marcus,2745000,27454,parallel
4,1,Trey,3222300,32227,parallel
4,2,Will,2337500,23378,parallel
4,3,George,2384200,23846,parallel
4,4,Jess,3224800,32252,parallel
5,0,Marcus,3034600,30348,parallel
5,1,Trey,2809400,28098,parallel
5,2,Will,2564600,25649,parallel
5,3,George,2450100,24504,parallel
5,4,Jess,2420800,24212,parallel
6,0,Marcus,3265400,32657,parallel
6,1,Trey,2858700,28591,parallel
6,2,Will,3393200,33936,parallel
6,3,George,3150800,31512,parallel
6,4,Jess,3388400,33887,parallel
7,0,Marcus,2583500,25838,parallel
7,1,Trey,3236200,32364,parallel
7,2,Will,2284900,22853,parallel
7,3,George,2948300,29487,parallel
7,4,Jess,2600700,26011,parallel
8,0,Marcus,2315000,23154,parallel
8,1,Trey,3318100,33186,parallel
8,2,Will,2313800,23142,parallel
8,3,George,2316700,23171,parallel
8,4,Jess,3308100,33085,parallel
9,0,Marcus,2303800,23042,parallel
9,1,Trey,2340000,23404,parallel
9,2,Will,2304500,23049,parallel
9,3,George,2555300,25555,parallel
9,4,Jess,2546000,25464,parallel
10,0,Marcus,2863100,28635,parallel
10,1,Trey,3752500,37529,parallel
10,2,Will,2827500,28278,parallel
10,3,George,3233900,32342,parallel
10,4,Jess,2801300,28017,parallel
11,0,Marcus,2661200,26616,parallel
11,1,Trey,2629500,26300,parallel
11,2,Will,3125400,31257,parallel
11,3,George,3238900,32393,parallel
11,4,Jess,2506600,25070,parallel
12,0,Marcus,2964600,29650,parallel
12,1,Trey,2800300,28008,parallel
12,2,Will,2915500,29159,parallel
12,3,George,2478200,24785,parallel
12,4,Jess,2979800,29800,parallel
13,0,Marcus,2324900,23253,parallel
13,1,Trey,2293000,22934,parallel
13,2,Will,2322700,23230,parallel
13,3,George,2563900,25642,parallel
13,4,Jess,2744900,27452,parallel
14,0,Marcus,2364700,23651,parallel
14,1,Trey,3015500,30160,parallel
14,2,Will,2358700,23589,parallel
14,3,George,3004100,30045,parallel
14,4,Jess,2486500,24868,parallel
15,0,Marcus,3073400,30738,parallel
15,1,Trey,3103000,31034,parallel
15,2,Will,2330500,23307,parallel
15,3,George,2429700,24301,parallel
15,4,Jess,2427900,24283,parallel
16,0,Marcus,2807800,28081,parallel
16,1,Trey,2343400,23439,parallel
16,2,Will,2554400,25549,parallel
16,3,George,2736700,27372,parallel
16,4,Jess,2392500,23929,parallel
17,0,Marcus,2329500,23299,parallel
17,1,Trey,2346600,23469,parallel
17,2,Will,2331500,23319,parallel
17,3,George,2446600,24470,parallel
17,4,Jess,2450500,24508,parallel
18,0,Marcus,2721600,28010,parallel
18,1,Trey,2868200,28686,parallel
18,2,Will,2728000,27284,parallel
18,3,George,2894300,28945,parallel
18,4,Jess,2783900,27842,parallel
19,0,Marcus,2319700,23201,parallel
19,1,Trey,2346100,23463,parallel
19,2,Will,2327800,23282,parallel
19,3,George,2324400,23248,parallel
19,4,Jess,2443500,24438,parallel
20,0,Marcus,2336000,23364,parallel
20,1,Trey,2369100,23695,parallel
20,2,Will,2333100,23335,parallel
20,3,George,2329300,23295,parallel
20,4,Jess,2504400,25048,parallel
21,0,Marcus,2417800,24180,parallel
21,1,Trey,2342900,23432,parallel
21,2,Will,2741300,27416,parallel
21,3,George,2819600,28199,parallel
21,4,Jess,2313100,23135,parallel
22,0,Marcus,2373500,23739,parallel
22,1,Trey,2376800,23772,parallel
22,2,Will,2340200,23406,parallel
22,3,George,2376500,23769,parallel
22,4,Jess,2337100,23373,parallel
23,0,Marcus,2293700,22940,parallel
23,1,Trey,2308200,23086,parallel
23,2,Will,2520800,25213,parallel
23,3,George,2496400,24967,parallel
23,4,Jess,2306100,23064,parallel
24,0,Marcus,3279100,32794,parallel
24,1,Trey,2319000,23194,parallel
24,2,Will,2322700,23231,parallel
24,3,George,2816600,28170,parallel
24,4,Jess,2790700,27911,parallel
25,0,Marcus,2316400,23168,parallel
25,1,Trey,3041400,30417,parallel
25,2,Will,2329700,23301,parallel
25,3,George,2303000,23034,parallel
25,4,Jess,2956700,29571,parallel
26,0,Marcus,2316800,23172,parallel
26,1,Trey,2347400,23478,parallel
26,2,Will,2311600,23119,parallel
26,3,George,2326700,23271,parallel
26,4,Jess,2319100,23195,parallel
27,0,Marcus,2328800,23292,parallel
27,1,Trey,3535500,35361,parallel
27,2,Will,3615800,36160,parallel
27,3,George,3506600,35072,parallel
27,4,Jess,3567300,35677,parallel
28,0,Marcus,2509000,25094,parallel
28,1,Trey,3137400,31376,parallel
28,2,Will,3027900,30283,parallel
28,3,George,2299000,22992,parallel
28,4,Jess,2314200,23145,parallel
29,0,Marcus,2343900,23444,parallel
29,1,Trey,2326700,23271,parallel
29,2,Will,2297300,22976,parallel
29,3,George,3126300,31265,parallel
29,4,Jess,3341400,33417,parallel
30,0,Marcus,2837200,28376,parallel
30,1,Trey,2685300,26857,parallel
30,2,Will,3680100,36804,parallel
30,3,George,2857800,28581,parallel
30,4,Jess,2358600,23590,parallel
31,0,Marcus,2596100,25965,parallel
31,1,Trey,2625300,26256,parallel
31,2,Will,2325900,23263,parallel
31,3,George,2527800,25282,parallel
31,4,Jess,2334100,23345,parallel
32,0,Marcus,3166900,31672,parallel
32,1,Trey,3202300,32028,parallel
32,2,Will,3076600,30769,parallel
32,3,George,3276100,32764,parallel
32,4,Jess,2393000,23934,parallel
33,0,Marcus,2585200,25856,parallel
33,1,Trey,2369900,23703,parallel
33,2,Will,2350400,23508,parallel
33,3,George,2336000,23363,parallel
33,4,Jess,2367200,23674,parallel
34,0,Marcus,2809900,28103,parallel
34,1,Trey,2401200,24014,parallel
34,2,Will,2296100,22964,parallel
34,3,George,2315900,23163,parallel
34,4,Jess,2520800,25213,parallel
35,0,Marcus,3042100,30425,parallel
35,1,Trey,2299700,23001,parallel
35,2,Will,2312000,23124,parallel
35,3,George,2363600,23640,parallel
35,4,Jess,2326800,23272,parallel
36,0,Marcus,2314200,23144,parallel
36,1,Trey,2861400,28618,parallel
36,2,Will,3130800,31312,parallel
36,3,George,3321700,33221,parallel
36,4,Jess,3593100,35935,parallel
37,0,Marcus,2391400,23918,parallel
37,1,Trey,2355800,23562,parallel
37,2,Will,2741100,27415,parallel
37,3,George,2312900,23132,parallel
37,4,Jess,2727700,27280,parallel
38,0,Marcus,2851200,29011,parallel
38,1,Trey,2462000,24622,parallel
38,2,Will,2582500,25829,parallel
38,3,George,2762200,28834,parallel
38,4,Jess,2551500,25518,parallel
39,0,Marcus,2397500,23979,parallel
39,1,Trey,2441300,24415,parallel
39,2,Will,2405200,24056,parallel
39,3,George,2378900,23794,parallel
39,4,Jess,2412600,24129,parallel
40,0,Marcus,2384600,23850,parallel
40,1,Trey,2762300,27626,parallel
40,2,Will,2484300,24846,parallel
40,3,George,2456100,24565,parallel
40,4,Jess,2745600,27459,parallel
41,0,Marcus,2361900,23623,parallel
41,1,Trey,3352900,33533,parallel
41,2,Will,2832300,28326,parallel
41,3,George,2308300,23087,parallel
41,4,Jess,2867900,28682,parallel
42,0,Marcus,2430400,24308,parallel
42,1,Trey,2318800,23192,parallel
42,2,Will,2841900,28423,parallel
42,3,George,2325400,23257,parallel
42,4,Jess,2905200,29056,parallel
43,0,Marcus,2849000,28493,parallel
43,1,Trey,3260100,32605,parallel
43,2,Will,2884900,28853,parallel
43,3,George,2470600,24709,parallel
43,4,Jess,3422800,34230,parallel
44,0,Marcus,3210900,32113,parallel
44,1,Trey,2312100,23125,parallel
44,2,Will,2321200,23215,parallel
44,3,George,2317600,23180,parallel
44,4,Jess,2299400,22997,parallel
45,0,Marcus,2350700,23510,parallel
45,1,Trey,2741200,27416,parallel
45,2,Will,2499600,25001,parallel
45,3,George,2355300,23556,parallel
45,4,Jess,2515600,25159,parallel
46,0,Marcus,2889800,28902,parallel
46,1,Trey,2796300,27967,parallel
46,2,Will,2840400,28408,parallel
46,3,George,3300800,33011,parallel
46,4,Jess,2919500,29198,parallel
47,0,Marcus,2462400,24628,parallel
47,1,Trey,2329800,23302,parallel
47,2,Will,2332600,23329,parallel
47,3,George,2698500,26989,parallel
47,4,Jess,2501600,25023,parallel
48,0,Marcus,2934500,29349,parallel
48,1,Trey,2816700,28172,parallel
48,2,Will,2935000,29354,parallel
48,3,George,2613300,26138,parallel
48,4,Jess,2895600,28959,parallel
49,0,Marcus,2755500,27560,parallel
49,1,Trey,3093700,30941,parallel
49,2,Will,3537800,35382,parallel
49,3,George,3063000,30634,parallel
49,4,Jess,3110200,31105,parallel
50,0,Marcus,2828800,28292,parallel
50,1,Trey,2899600,29000,parallel
50,2,Will,2908100,29086,parallel
50,3,George,2712800,27132,parallel
50,4,Jess,2469800,24702,parallel
51,0,Marcus,2290700,22911,parallel
51,1,Trey,2530300,25307,parallel
51,2,Will,2422900,24233,parallel
51,3,George,2781500,27818,parallel
51,4,Jess,2879300,28796,parallel
52,0,Marcus,2323500,23240,parallel
52,1,Trey,2332500,23329,parallel
52,2,Will,2310300,23106,parallel
52,3,George,2336700,23370,parallel
52,4,Jess,2331500,23318,parallel
53,0,Marcus,2323700,23240,parallel
53,1,Trey,2388900,23894,parallel
53,2,Will,2330200,23306,parallel
53,3,George,2525900,25262,parallel
53,4,Jess,2499900,25003,parallel
54,0,Marcus,2300300,23007,parallel
54,1,Trey,2346600,23470,parallel
54,2,Will,2304600,23050,parallel
54,3,George,2345200,23457,parallel
54,4,Jess,2399700,24001,parallel
55,0,Marcus,2853900,28542,parallel
55,1,Trey,2429200,24297,parallel
55,2,Will,2432000,24325,parallel
55,3,George,2454800,24552,parallel
55,4,Jess,2937500,29379,parallel
56,0,Marcus,3276700,32770,parallel
56,1,Trey,3317600,33181,parallel
56,2,Will,2310200,23106,parallel
56,3,George,2297100,22976,parallel
56,4,Jess,2366300,23667,parallel
57,0,Marcus,2319500,23199,parallel
57,1,Trey,2301200,23016,parallel
57,2,Will,2343400,23436,parallel
57,3,George,2410800,24111,parallel
57,4,Jess,2534500,25349,parallel
58,0,Marcus,2354600,23550,parallel
58,1,Trey,2384200,23846,parallel
58,2,Will,2837700,28380,parallel
58,3,George,2845000,28454,parallel
58,4,Jess,2370000,23703,parallel
59,0,Marcus,2743900,27935,parallel
59,1,Trey,2783100,27835,parallel
59,2,Will,2714300,27146,parallel
59,3,George,2764100,27644,parallel
59,4,Jess,2809700,28100,parallel
60,0,Marcus,2326900,23272,parallel
