run,candidate_idx,candidate_name,duration_ns,cpu_cycles,heap_allocs,heap_bytes,system
0,0,Marcus,2795800,27962,79,29880,sequential
0,1,Trey,2379900,23802,77,29824,sequential
0,2,Will,2387800,23881,77,29824,sequential
0,3,George,2294100,22943,77,29824,sequential
0,4,Jess,2504800,25052,77,29824,sequential
1,0,Marcus,2339300,23396,77,29824,sequential
1,1,Trey,2264500,22647,77,29824,sequential
1,2,Will,2415400,24157,77,29824,sequential
1,3,George,2257300,22576,77,29824,sequential
1,4,Jess,2526700,25270,77,29824,sequential
2,0,Marcus,2313600,23140,77,29824,sequential
2,1,Trey,2535300,25356,77,29824,sequential
2,2,Will,2568000,25686,77,29824,sequential
2,3,George,2872000,28724,77,29824,sequential
2,4,Jess,2591800,25923,77,29824,sequential
3,0,Marcus,2571200,25716,77,29824,sequential
3,1,Trey,2870900,28713,77,29824,sequential
3,2,Will,2816000,28165,77,29824,sequential
3,3,George,2447900,24484,77,29824,sequential
3,4,Jess,2249400,22496,77,29824,sequential
4,0,Marcus,2564300,25647,77,29824,sequential
4,1,Trey,2670400,26708,77,29824,sequential
4,2,Will,2268500,22690,77,29824,sequential
4,3,George,2311500,23119,77,29824,sequential
4,4,Jess,2805100,28056,77,29824,sequential
5,0,Marcus,2410600,24111,77,29824,sequential
5,1,Trey,2674800,26752,77,29824,sequential
5,2,Will,2531100,25316,77,29824,sequential
5,3,George,2490100,24904,77,29824,sequential
5,4,Jess,2723200,27237,77,29824,sequential
6,0,Marcus,2844700,28451,77,29824,sequential
6,1,Trey,2848500,28489,77,29824,sequential
6,2,Will,2740700,27412,77,29824,sequential
6,3,George,2618500,26188,77,29824,sequential
6,4,Jess,2426300,24266,77,29824,sequential
7,0,Marcus,2262500,22628,77,29824,sequential
7,1,Trey,2393300,23936,77,29824,sequential
7,2,Will,2259700,22600,77,29824,sequential
7,3,George,2647700,26481,77,29824,sequential
7,4,Jess,2582800,25834,77,29824,sequential
8,0,Marcus,2248100,22484,77,29824,sequential
8,1,Trey,2383300,23838,77,29824,sequential
8,2,Will,2932900,29334,77,29824,sequential
8,3,George,2621400,26218,77,29824,sequential
8,4,Jess,2821800,28222,77,29824,sequential
9,0,Marcus,2273900,22743,77,29824,sequential
9,1,Trey,2272700,22730,77,29824,sequential
9,2,Will,2557600,25580,77,29824,sequential
9,3,George,2322300,23226,77,29824,sequential
9,4,Jess,2238900,22393,77,29824,sequential
10,0,Marcus,2244800,22453,77,29824,sequential
10,1,Trey,2687200,26876,77,29824,sequential
10,2,Will,2771000,27714,77,29824,sequential
10,3,George,2705500,27060,77,29824,sequential
10,4,Jess,2237800,22382,77,29824,sequential
11,0,Marcus,2669900,26703,77,29824,sequential
11,1,Trey,2471100,24715,77,29824,sequential
11,2,Will,2475600,24760,77,29824,sequential
11,3,George,2492600,24930,79,32136,sequential
11,4,Jess,2307100,23073,77,29824,sequential
12,0,Marcus,2772600,27730,77,29824,sequential
12,1,Trey,2945500,29459,77,29824,sequential
12,2,Will,2282100,22825,77,29824,sequential
12,3,George,2366900,23676,77,29824,sequential
12,4,Jess,2687500,26879,77,29824,sequential
13,0,Marcus,2782700,27833,77,29824,sequential
13,1,Trey,2878600,28789,77,29824,sequential
13,2,Will,2666100,26666,77,29824,sequential
13,3,George,2737000,27375,77,29824,sequential
13,4,Jess,2581400,25817,77,29824,sequential
14,0,Marcus,2717500,27180,77,29824,sequential
14,1,Trey,2622700,26230,77,29824,sequential
14,2,Will,2630200,26307,77,29824,sequential
14,3,George,2855300,28558,77,29824,sequential
14,4,Jess,2518200,25185,77,29824,sequential
15,0,Marcus,2418600,24189,77,29824,sequential
15,1,Trey,2481700,24821,77,29824,sequential
15,2,Will,2453500,24539,77,29824,sequential
15,3,George,2300600,23009,77,29824,sequential
15,4,Jess,2447600,24480,77,29824,sequential
16,0,Marcus,2656800,26572,77,29824,sequential
16,1,Trey,2786700,27871,77,29824,sequential
16,2,Will,2897400,28978,77,29824,sequential
16,3,George,2654300,26547,77,29824,sequential
16,4,Jess,2344700,23451,77,29824,sequential
17,0,Marcus,2519100,25195,77,29824,sequential
17,1,Trey,2472900,24732,77,29824,sequential
17,2,Will,2620200,26206,77,29824,sequential
17,3,George,2730000,27305,77,29824,sequential
17,4,Jess,2537900,25383,77,29824,sequential
18,0,Marcus,2405500,24060,77,29824,sequential
18,1,Trey,2388000,23885,77,29824,sequential
18,2,Will,2304400,23049,77,29824,sequential
18,3,George,2713500,27140,77,29824,sequential
18,4,Jess,2911100,29115,77,29824,sequential
19,0,Marcus,2354300,23548,77,29824,sequential
