system,candidate,metric,n,mean,std,cv_pct,median,p95,p99,max
sequential,Marcus,duration_ns,1000,2536108.5,222066.69839551873,8.756198656150504,2509900.0,2894019.9999999995,3204584.9999999995,3958400.0
sequential,Marcus,cpu_cycles,1000,25365.481,2221.1178402099918,8.756458591145941,25103.0,28945.249999999996,32050.829999999994,39589.0
sequential,Marcus,heap_allocs,1000,77.023,0.2377551840181987,0.3086807629126348,77.0,77.0,77.01999999999998,81.0
sequential,Marcus,heap_bytes,1000,29841.496,197.4920279026094,0.6618033757510328,29824.0,29824.0,29824.559999999998,32360.0
sequential,Trey,duration_ns,1000,2523543.2,210001.8801902579,8.32170735932945,2511550.0,2879160.0,3148115.9999999995,3841500.0
sequential,Trey,cpu_cycles,1000,25239.603,2100.1855634185736,8.320992859588852,25120.0,28795.649999999998,31484.189999999995,38419.0
sequential,Trey,heap_allocs,1000,77.027,0.2496664441476534,0.32412847981571835,77.0,77.0,79.0,80.0
sequential,Trey,heap_bytes,1000,29848.376,233.96274316478085,0.7838374294292622,29824.0,29824.0,30694.559999999987,32248.0
sequential,Will,duration_ns,1000,2547546.2,259997.1967307876,10.205789270113632,2518900.0,2907245.0,3382874.9999999995,6921900.0
sequential,Will,cpu_cycles,1000,25479.534,2600.0730525742392,10.204554967819423,25193.0,29077.399999999998,33832.74999999999,69222.0
sequential,Will,heap_allocs,1000,77.028,0.24754247570321594,0.32136687399804736,77.0,77.0,79.0,80.0
sequential,Will,heap_bytes,1000,29852.296,253.24223188878273,0.8483174355794366,29824.0,29824.0,32136.0,32248.0
sequential,George,duration_ns,1000,2557277.2,227185.25246833055,8.883872756083328,2534350.0,2969700.0,3240785.999999999,3794400.0
sequential,George,cpu_cycles,1000,25576.901,2272.0031874279316,8.883027648376679,25346.5,29702.05,32412.83999999999,37949.0
sequential,George,heap_allocs,1000,77.019,0.1915089441140431,0.2486515588543646,77.0,77.0,77.00999999999999,79.0
sequential,George,heap_bytes,1000,29845.384,219.15890849146697,0.7343142527215163,29824.0,29824.0,29829.759999999995,32136.0
sequential,Jess,duration_ns,1000,2537400.4,221489.99294960668,8.729012297373592,2512700.0,2899390.0,3259740.0,3993000.0
sequential,Jess,cpu_cycles,1000,25378.117,2215.0263504175396,8.72809574649506,25131.0,28998.85,32601.409999999996,39933.0
sequential,Jess,heap_allocs,1000,77.027,0.26141793997225854,0.33938481308146307,77.0,77.0,79.0,82.0
sequential,Jess,heap_bytes,1000,29848.328,232.40395869265234,0.7786163388872313,29824.0,29824.0,30868.79999999999,32136.0
parallel,Marcus,duration_ns,1000,2773759.0,489437.1738703203,17.645266725419198,2642450.0,3702530.0,4094824.999999999,7535600.0
parallel,Marcus,cpu_cycles,1000,27747.025,4895.042419291345,17.641683817603308,26472.5,37029.2,40952.22999999999,75360.0
parallel,Trey,duration_ns,1000,2772645.3,477845.89201375836,17.23429578293907,2615750.0,3741620.0,4397868.0,5036400.0
parallel,Trey,cpu_cycles,1000,27733.833,4781.196544748031,17.239580784769384,26178.0,37419.25,43983.67,50368.0
parallel,Will,duration_ns,1000,2777962.2,508001.91913121846,18.28685498784751,2623350.0,3745280.0,4153186.9999999995,9085800.0
parallel,Will,cpu_cycles,1000,27788.651,5083.927861181421,18.29497898685841,26237.5,37456.65,41536.84,90861.0
parallel,George,duration_ns,1000,2790848.9,521023.36262704496,18.668992170340896,2643200.0,3712580.0,4160026.9999999986,9439300.0
parallel,George,cpu_cycles,1000,27915.337,5213.603805629372,18.676485279863797,26435.5,37128.9,41604.25999999999,94397.0
parallel,Jess,duration_ns,1000,2768987.5,507511.11002671707,18.328400183342,2604450.0,3671340.0,4315645.0,9006500.0
parallel,Jess,cpu_cycles,1000,27695.457,5076.481019731552,18.329652475969443,26048.0,36716.45,43159.46,90073.0
secure,Marcus,duration_ns,1000,3436924.9,712011.1873143923,20.716518633106947,3339300.0,4701020.0,5523650.0,6489300.0
secure,Marcus,cpu_cycles,1000,34404.577,7148.282188352339,20.77712563753462,33425.0,47014.2,55242.469999999994,64897.0
secure,Trey,duration_ns,1000,3490020.2,720943.976276166,20.6573009599247,3400850.0,4750370.0,5425506.0,6955300.0
secure,Trey,cpu_cycles,1000,34926.612,7227.790715293304,20.694222260359247,34013.0,47679.549999999996,54259.06,69557.0
secure,Will,duration_ns,1000,3508675.9,755951.0973010758,21.54519593277555,3414300.0,4872880.0,5611607.0,8699200.0
secure,Will,cpu_cycles,1000,35120.547,7579.28342688516,21.580767027589747,34149.0,48766.95,56119.07,86997.0
secure,George,duration_ns,1000,3439794.9,725988.8605685763,21.10558570130377,3333050.0,4723365.0,5338251.999999999,7396300.0
secure,George,cpu_cycles,1000,34423.234,7278.313867098065,21.14360860777365,33389.0,47336.2,53387.509999999995,73967.0
secure,Jess,duration_ns,1000,3501040.7,742326.6055738895,21.20302701919145,3425700.0,4838050.0,5396687.0,6327800.0
secure,Jess,cpu_cycles,1000,35042.238,7447.171661316067,21.251986420833248,34308.0,48453.25,53971.86,63281.0
