run,candidate_idx,candidate_name,duration_ns,cpu_cycles,system
0,0,Marcus,4123300,41238,secure
0,1,Trey,2712800,27132,secure
0,2,Will,2405200,24056,secure
0,3,George,2587100,25875,secure
0,4,Jess,3686500,36869,secure
1,0,Marcus,2691900,26926,secure
1,1,Trey,4340800,43413,secure
1,2,Will,4601300,46018,secure
1,3,George,3180000,31806,secure
1,4,Jess,2638300,26388,secure
2,0,Marcus,3182700,31832,secure
2,1,Trey,3699500,37001,secure
2,2,Will,3701000,37014,secure
2,3,George,3099100,30995,secure
2,4,Jess,3534700,35350,secure
3,0,Marcus,3794400,37949,secure
3,1,Trey,3925500,39259,secure
3,2,Will,3185500,31860,secure
3,3,George,3863100,38634,secure
3,4,Jess,3587000,35874,secure
4,0,Marcus,2722700,27231,secure
4,1,Trey,3914000,39144,secure
4,2,Will,3093300,30938,secure
4,3,George,2575600,25761,secure
4,4,Jess,3498500,34990,secure
5,0,Marcus,2563100,25635,secure
5,1,Trey,2495500,24959,secure
5,2,Will,2738300,27387,secure
5,3,George,2313600,23140,secure
5,4,Jess,2665700,26661,secure
6,0,Marcus,3253600,32540,secure
6,1,Trey,2265200,22657,secure
6,2,Will,2450700,24512,secure
6,3,George,2831300,28318,secure
6,4,Jess,2329500,23299,secure
7,0,Marcus,2669900,26704,secure
7,1,Trey,3554500,35551,secure
7,2,Will,3159700,31602,secure
7,3,George,2692700,26933,secure
7,4,Jess,2544700,25452,secure
8,0,Marcus,2276800,22773,secure
8,1,Trey,2647600,26480,secure
8,2,Will,2566400,25668,secure
8,3,George,2557700,25582,secure
8,4,Jess,2321400,23218,secure
9,0,Marcus,2325400,23258,secure
9,1,Trey,3333300,33338,secure
9,2,Will,2441800,24423,secure
9,3,George,2345700,23461,secure
9,4,Jess,3477800,34781,secure
10,0,Marcus,2783900,27844,secure
10,1,Trey,3357200,33576,secure
10,2,Will,3487100,34874,secure
10,3,George,3195800,31962,secure
10,4,Jess,3127600,31281,secure
11,0,Marcus,2240200,22405,secure
11,1,Trey,3599800,36002,secure
11,2,Will,2664400,26648,secure
11,3,George,3768300,37688,secure
11,4,Jess,2268300,22687,secure
12,0,Marcus,2949900,29503,secure
12,1,Trey,2454400,24548,secure
12,2,Will,2759800,27602,secure
12,3,George,2431900,24324,secure
12,4,Jess,2809700,28101,secure
13,0,Marcus,2540800,25413,secure
13,1,Trey,2531100,25316,secure
13,2,Will,2627000,26275,secure
13,3,George,2702300,27027,secure
13,4,Jess,2521100,25216,secure
14,0,Marcus,3019000,30195,secure
14,1,Trey,3060900,30613,secure
14,2,Will,2973700,29741,secure
14,3,George,3608000,36084,secure
14,4,Jess,2565600,25659,secure
15,0,Marcus,2447200,24476,secure
15,1,Trey,2728200,27286,secure
15,2,Will,2753700,27541,secure
15,3,George,2801900,28023,secure
15,4,Jess,2545800,25462,secure
16,0,Marcus,3142500,31431,secure
16,1,Trey,3370000,33704,secure
16,2,Will,3161000,31614,secure
16,3,George,3198200,31985,secure
16,4,Jess,2349800,23502,secure
17,0,Marcus,3725200,37257,secure
17,1,Trey,2893800,28944,secure
17,2,Will,2639500,26400,secure
17,3,George,3735300,37357,secure
17,4,Jess,2768600,27694,secure
18,0,Marcus,3152900,31533,secure
18,1,Trey,3917800,39182,secure
18,2,Will,4055000,40700,secure
18,3,George,2927200,29277,secure
18,4,Jess,2437100,24374,secure
19,0,Marcus,2875500,28758,secure
19,1,Trey,3061100,30615,secure
19,2,Will,2792800,27932,secure
19,3,George,2744800,27452,secure
19,4,Jess,2874200,28746,secure
20,0,Marcus,2272600,22732,secure
20,1,Trey,2357900,23585,secure
20,2,Will,2495200,24957,secure
20,3,George,4419000,44194,secure
20,4,Jess,4348500,43491,secure
21,0,Marcus,2302400,23028,secure
21,1,Trey,2819900,28202,secure
21,2,Will,2879900,28805,secure
21,3,George,2748600,27490,secure
21,4,Jess,2884000,28844,secure
22,0,Marcus,2251500,22518,secure
22,1,Trey,2250000,22505,secure
22,2,Will,2264700,22651,secure
22,3,George,2241500,22419,secure
22,4,Jess,2340500,23409,secure
23,0,Marcus,2933100,29337,secure
23,1,Trey,2884800,28852,secure
23,2,Will,2842800,28433,secure
23,3,George,2779600,27800,secure
23,4,Jess,2324000,23245,secure
24,0,Marcus,2483600,24838,secure
24,1,Trey,2666800,26672,secure
24,2,Will,2285700,22861,secure
24,3,George,2260000,22604,secure
24,4,Jess,2514800,25152,secure
25,0,Marcus,2494500,24950,secure
25,1,Trey,2871000,28715,secure
25,2,Will,2813200,28138,secure
25,3,George,2614300,26148,secure
25,4,Jess,3175800,31872,secure
26,0,Marcus,3972300,39727,secure
26,1,Trey,2655100,26555,secure
26,2,Will,4032800,40332,secure
26,3,George,2526300,25267,secure
26,4,Jess,2928200,29286,secure
27,0,Marcus,2525700,25262,secure
27,1,Trey,2812500,28130,secure
27,2,Will,2296000,22963,secure
27,3,George,2281700,22821,secure
27,4,Jess,2650400,26509,secure
28,0,Marcus,2692200,26927,secure
