metric,comparison,scope,n_a,n_b,mean_a,mean_b,t_stat,p_value,leakage
duration_ns,sequential vs parallel,all candidates pooled,5000,5000,2540375.1,2776840.58,-30.362149317861718,2.468607123654705e-190,True
cpu_cycles,sequential vs parallel,all candidates pooled,5000,5000,25407.9272,27776.0606,-30.39420124840436,1.0490221844225666e-190,True
duration_ns,sequential vs secure,all candidates pooled,5000,5000,2540375.1,3475291.32,-86.19761854438958,0.0,True
cpu_cycles,sequential vs secure,all candidates pooled,5000,5000,25407.9272,34783.4416,-86.20720862898884,0.0,True
duration_ns,parallel vs secure,all candidates pooled,5000,5000,2776840.58,3475291.32,-55.68470303352148,0.0,True
cpu_cycles,parallel vs secure,all candidates pooled,5000,5000,27776.0606,34783.4416,-55.745907502794935,0.0,True
duration_ns,sequential vs parallel,candidate: Marcus,1000,1000,2536108.5,2773759.0,-13.982771173142476,1.1284510674489404e-41,True
cpu_cycles,sequential vs parallel,candidate: Marcus,1000,1000,25365.481,27747.025,-14.01034170492386,8.030053092663526e-42,True
duration_ns,sequential vs secure,candidate: Marcus,1000,1000,2536108.5,3436924.9,-38.19373049476644,4.470311707959743e-209,True
cpu_cycles,sequential vs secure,candidate: Marcus,1000,1000,25365.481,34404.577,-38.186481027809705,6.03748434110573e-209,True
duration_ns,parallel vs secure,candidate: Marcus,1000,1000,2773759.0,3436924.9,-24.27195489272879,1.3911117121886456e-112,True
cpu_cycles,parallel vs secure,candidate: Marcus,1000,1000,27747.025,34404.577,-24.30032517355994,8.898363610248192e-113,True
duration_ns,sequential vs parallel,candidate: Trey,1000,1000,2523543.2,2772645.3,-15.091901310886952,9.983649849336306e-48,True
cpu_cycles,sequential vs parallel,candidate: Trey,1000,1000,25239.603,27733.833,-15.1038962658316,8.558528527765415e-48,True
duration_ns,sequential vs secure,candidate: Trey,1000,1000,2523543.2,3490020.2,-40.70103864613847,3.613839576371576e-226,True
cpu_cycles,sequential vs secure,candidate: Trey,1000,1000,25239.603,34926.612,-40.6989386815458,4.226356688217129e-226,True
duration_ns,parallel vs secure,candidate: Trey,1000,1000,2772645.3,3490020.2,-26.228125058697998,5.454282506925938e-128,True
cpu_cycles,parallel vs secure,candidate: Trey,1000,1000,27733.833,34926.612,-26.24668371791869,4.0418079941704945e-128,True
duration_ns,sequential vs parallel,candidate: Will,1000,1000,2547546.2,2777962.2,-12.768133899165546,1.6697161710980226e-35,True
cpu_cycles,sequential vs parallel,candidate: Will,1000,1000,25479.534,27788.651,-12.787701759996152,1.3332548152033648e-35,True
duration_ns,sequential vs secure,candidate: Will,1000,1000,2547546.2,3508675.9,-38.01990041108891,6.59764210412386e-210,True
cpu_cycles,sequential vs secure,candidate: Will,1000,1000,25479.534,35120.547,-38.048289857358,4.608198230380495e-210,True
