metric,comparison,scope,n_a,n_b,mean_a,mean_b,t_stat,p_value,leakage
duration_ns,parallel vs secure,candidate: Will,1000,1000,2777962.2,3508675.9,-25.37065747574984,3.6055636005551766e-121,True
cpu_cycles,parallel vs secure,candidate: Will,1000,1000,27788.651,35120.547,-25.404755317851677,1.9934964538170407e-121,True
duration_ns,sequential vs parallel,candidate: George,1000,1000,2557277.2,2790848.9,-12.994698391705837,1.733210171774156e-36,True
cpu_cycles,sequential vs parallel,candidate: George,1000,1000,25576.901,27915.337,-13.002620458315453,1.5826721437756523e-36,True
duration_ns,sequential vs secure,candidate: George,1000,1000,2557277.2,3439794.9,-36.68654623493171,7.170296164684335e-198,True
cpu_cycles,sequential vs secure,candidate: George,1000,1000,25576.901,34423.234,-36.689455407924996,7.579761894276246e-198,True
duration_ns,parallel vs secure,candidate: George,1000,1000,2790848.9,3439794.9,-22.96488393765644,1.1978294150544118e-102,True
cpu_cycles,parallel vs secure,candidate: George,1000,1000,27915.337,34423.234,-22.986558787396213,8.362148467244598e-103,True
duration_ns,sequential vs parallel,candidate: Jess,1000,1000,2537400.4,2768987.5,-13.225446418065118,1.159577749071433e-37,True
cpu_cycles,sequential vs parallel,candidate: Jess,1000,1000,25378.117,27695.457,-13.230714738870736,1.0902896199270102e-37,True
duration_ns,sequential vs secure,candidate: Jess,1000,1000,2537400.4,3501040.7,-39.33695602483342,1.1869785624881164e-216,True
cpu_cycles,sequential vs secure,candidate: Jess,1000,1000,25378.117,35042.238,-39.333592513170906,1.4586207893006552e-216,True
duration_ns,parallel vs secure,candidate: Jess,1000,1000,2768987.5,3501040.7,-25.743725339579093,2.3267265878991737e-124,True
cpu_cycles,parallel vs secure,candidate: Jess,1000,1000,27695.457,35042.238,-25.777222883727774,1.3275297933317394e-124,True
duration_ns,Marcus vs Trey,within-parallel,1000,1000,2773759.0,2772645.3,0.051487102563852964,0.9589425285518082,False
cpu_cycles,Marcus vs Trey,within-parallel,1000,1000,27747.025,27733.833,0.060966182012594815,0.9513922426359552,False
duration_ns,Marcus vs Will,within-parallel,1000,1000,2773759.0,2777962.2,-0.1884228012465197,0.8505643886550649,False
cpu_cycles,Marcus vs Will,within-parallel,1000,1000,27747.025,27788.651,-0.18651602978568005,0.8520590717935268,False
duration_ns,Marcus vs George,within-parallel,1000,1000,2773759.0,2790848.9,-0.7560022418440828,0.44973732040465997,False
cpu_cycles,Marcus vs George,within-parallel,1000,1000,27747.025,27915.337,-0.7442546131313985,0.456810321065716,False
duration_ns,Marcus vs Jess,within-parallel,1000,1000,2773759.0,2768987.5,0.21400599414834148,0.8305642481212632,False
cpu_cycles,Marcus vs Jess,within-parallel,1000,1000,27747.025,27695.457,0.2312394297911409,0.8171525079248266,False
duration_ns,Trey vs Will,within-parallel,1000,1000,2772645.3,2777962.2,-0.24107963631830165,0.8095182237269644,False
cpu_cycles,Trey vs Will,within-parallel,1000,1000,27733.833,27788.651,-0.24838835316118146,0.8038595665316608,False
duration_ns,Trey vs George,within-parallel,1000,1000,2772645.3,2790848.9,-0.814250945031725,0.4155989613833853,False
cpu_cycles,Trey vs George,within-parallel,1000,1000,27733.833,27915.337,-0.811373873170208,0.41724836329687426,False
duration_ns,Trey vs Jess,within-parallel,1000,1000,2772645.3,2768987.5,0.16593752900233616,0.8682229625503766,False
cpu_cycles,Trey vs Jess,within-parallel,1000,1000,27733.833,27695.457,0.17402247390259826,0.8618654928683356,False
duration_ns,Will vs George,within-parallel,1000,1000,2777962.2,2790848.9,-0.5600101554776339,0.5755353295895569,False
cpu_cycles,Will vs George,within-parallel,1000,1000,27788.651,27915.337,-0.550143584435655,0.5822824278954347,False
duration_ns,Will vs Jess,within-parallel,1000,1000,2777962.2,2768987.5,0.3952295314312632,0.6927156910966782,False
cpu_cycles,Will vs Jess,within-parallel,1000,1000,27788.651,27695.457,0.4101962146728021,0.6817059967565392,False
duration_ns,George vs Jess,within-parallel,1000,1000,2790848.9,2768987.5,0.9504661224194384,0.34199049414187344,False
cpu_cycles,George vs Jess,within-parallel,1000,1000,27915.337,27695.457,0.9555275534586245,0.3394266542929621,False
duration_ns,Marcus vs Trey,within-secure,1000,1000,3436924.9,3490020.2,-1.657028723800623,0.09767069394407421,False
cpu_cycles,Marcus vs Trey,within-secure,1000,1000,34404.577,34926.612,-1.6239315176903335,0.10454818323685319,False
duration_ns,Marcus vs Will,within-secure,1000,1000,3436924.9,3508675.9,-2.1849101907909527,0.029011664959052132,False
cpu_cycles,Marcus vs Will,within-secure,1000,1000,34404.577,35120.547,-2.173166309411202,0.029885334979754825,False
duration_ns,Marcus vs George,within-secure,1000,1000,3436924.9,3439794.9,-0.08925190168812534,0.9288906669352063,False
cpu_cycles,Marcus vs George,within-secure,1000,1000,34404.577,34423.234,-0.057832943541621495,0.9538874818557547,False
duration_ns,Marcus vs Jess,within-secure,1000,1000,3436924.9,3501040.7,-1.9711534837457314,0.04884437307008198,False
cpu_cycles,Marcus vs Jess,within-secure,1000,1000,34404.577,35042.238,-1.953422591752653,0.050909164970556114,False
duration_ns,Trey vs Will,within-secure,1000,1000,3490020.2,3508675.9,-0.5647483065350705,0.5723085119506378,False
cpu_cycles,Trey vs Will,within-secure,1000,1000,34926.612,35120.547,-0.5855710712271912,0.5582300741411363,False
duration_ns,Trey vs George,within-secure,1000,1000,3490020.2,3439794.9,1.552338844072758,0.12073955064315293,False
cpu_cycles,Trey vs George,within-secure,1000,1000,34926.612,34423.234,1.551871618006089,0.12085132748068847,False
duration_ns,Trey vs Jess,within-secure,1000,1000,3490020.2,3501040.7,-0.3367792235030401,0.7363187361421327,False
cpu_cycles,Trey vs Jess,within-secure,1000,1000,34926.612,35042.238,-0.35232623256149664,0.7246308091473066,False
duration_ns,Will vs George,within-secure,1000,1000,3508675.9,3439794.9,2.078237065991024,0.03781511413234142,False
cpu_cycles,Will vs George,within-secure,1000,1000,35120.547,34423.234,2.0984812348993573,0.035988117697206015,False
duration_ns,Will vs Jess,within-secure,1000,1000,3508675.9,3501040.7,0.22788993458228018,0.8197551336799165,False
cpu_cycles,Will vs Jess,within-secure,1000,1000,35120.547,35042.238,0.23305227877719292,0.8157446898101236,False
duration_ns,George vs Jess,within-secure,1000,1000,3439794.9,3501040.7,-1.8652843807136195,0.062288100970098105,False
cpu_cycles,George vs Jess,within-secure,1000,1000,34423.234,35042.238,-1.8797940842658172,0.06028162597764526,False
