run,candidate_idx,candidate_name,duration_ns,cpu_cycles,system
0,0,Marcus,2517600,25180,secure
0,1,Trey,2948700,29492,secure
0,2,Will,2492700,24931,secure
0,3,George,2325200,23256,secure
0,4,Jess,2985700,29862,secure
1,0,Marcus,3331700,33322,secure
1,1,Trey,2738300,27389,secure
1,2,Will,2806800,28074,secure
1,3,George,3535100,35357,secure
1,4,Jess,2528300,25288,secure
2,0,Marcus,2440900,24413,secure
2,1,Trey,2565500,25659,secure
2,2,Will,2665100,26655,secure
2,3,George,2602400,26029,secure
2,4,Jess,2636300,26369,secure
3,0,Marcus,2959500,29600,secure
3,1,Trey,3018300,30189,secure
3,2,Will,2743800,27441,secure
3,3,George,3348700,33492,secure
3,4,Jess,2974100,29745,secure
4,0,Marcus,2905900,29065,secure
4,1,Trey,2359100,23594,secure
4,2,Will,3417900,34183,secure
4,3,George,2867600,28683,secure
4,4,Jess,3739900,37404,secure
5,0,Marcus,3042300,30429,secure
5,1,Trey,3258500,32588,secure
5,2,Will,3120700,31211,secure
5,3,George,2464900,24654,secure
5,4,Jess,3174100,31748,secure
6,0,Marcus,3492400,34927,secure
6,1,Trey,2794100,27945,secure
6,2,Will,3514600,35150,secure
6,3,George,4203900,42043,secure
6,4,Jess,3931800,39321,secure
7,0,Marcus,2485600,24862,secure
7,1,Trey,2511700,25121,secure
7,2,Will,2459500,24600,secure
7,3,George,2475700,24762,secure
7,4,Jess,2365900,23664,secure
8,0,Marcus,2299100,22995,secure
8,1,Trey,2320000,23205,secure
8,2,Will,7330500,73309,secure
8,3,George,3521500,35218,secure
8,4,Jess,2294100,22945,secure
9,0,Marcus,2276700,22771,secure
9,1,Trey,2516000,25164,secure
9,2,Will,2304500,23049,secure
9,3,George,3174400,31749,secure
9,4,Jess,3658100,36585,secure
10,0,Marcus,2609600,26102,secure
10,1,Trey,2639600,26401,secure
10,2,Will,2785100,27854,secure
10,3,George,3509900,35103,secure
10,4,Jess,3568200,35685,secure
11,0,Marcus,2831100,28317,secure
11,1,Trey,2929200,29295,secure
11,2,Will,2381500,23819,secure
11,3,George,2833300,28337,secure
11,4,Jess,2781700,27822,secure
12,0,Marcus,3234600,32352,secure
12,1,Trey,3381400,33820,secure
12,2,Will,3410900,34114,secure
12,3,George,3251100,32514,secure
12,4,Jess,2441800,24422,secure
13,0,Marcus,3064300,30646,secure
13,1,Trey,2925700,29261,secure
13,2,Will,2957000,29575,secure
13,3,George,3881000,38814,secure
13,4,Jess,2849300,28498,secure
14,0,Marcus,2497000,24974,secure
14,1,Trey,2631500,26319,secure
14,2,Will,4072200,40725,secure
14,3,George,2622200,26226,secure
14,4,Jess,3479100,35174,secure
15,0,Marcus,4111600,41120,secure
15,1,Trey,2437900,24382,secure
15,2,Will,3263900,32644,secure
15,3,George,2602100,26026,secure
15,4,Jess,3404600,34051,secure
16,0,Marcus,4122300,41227,secure
16,1,Trey,2469300,24697,secure
16,2,Will,3533700,35341,secure
16,3,George,2669800,26703,secure
16,4,Jess,2564700,25652,secure
17,0,Marcus,3181800,31824,secure
17,1,Trey,2300200,23005,secure
17,2,Will,3208900,32095,secure
17,3,George,3688800,36892,secure
17,4,Jess,3656800,36573,secure
18,0,Marcus,2539000,25395,secure
18,1,Trey,2364800,23653,secure
18,2,Will,2690800,26913,secure
18,3,George,2926600,29270,secure
18,4,Jess,2657400,26578,secure
19,0,Marcus,2422100,24225,secure
19,1,Trey,2388800,23892,secure
19,2,Will,2421900,24224,secure
19,3,George,2329700,23302,secure
19,4,Jess,2374600,23751,secure
20,0,Marcus,4410400,44109,secure
20,1,Trey,2319900,23203,secure
20,2,Will,3433900,34343,secure
20,3,George,2583000,25834,secure
20,4,Jess,2569400,25701,secure
21,0,Marcus,3651900,36523,secure
21,1,Trey,3919000,39194,secure
21,2,Will,3855300,38558,secure
21,3,George,3639200,36398,secure
21,4,Jess,3776500,37770,secure
22,0,Marcus,2407400,24078,secure
22,1,Trey,2578100,25784,secure
22,2,Will,2489600,24900,secure
22,3,George,2345800,23461,secure
22,4,Jess,2320400,23208,secure
23,0,Marcus,2312100,23124,secure
23,1,Trey,2312200,23126,secure
23,2,Will,3274800,34190,secure
23,3,George,3213900,32144,secure
23,4,Jess,2373500,23739,secure
24,0,Marcus,2817700,28181,secure
24,1,Trey,2567100,25676,secure
24,2,Will,2301500,23019,secure
24,3,George,2719900,27203,secure
24,4,Jess,2304300,23047,secure
25,0,Marcus,2695800,26962,secure
25,1,Trey,2884000,28844,secure
25,2,Will,2860800,28612,secure
25,3,George,2743100,27435,secure
25,4,Jess,2841800,28422,secure
26,0,Marcus,2523400,25239,secure
26,1,Trey,2842400,28428,secure
26,2,Will,2969900,29704,secure
26,3,George,2762100,27625,secure
26,4,Jess,2916800,29173,secure
27,0,Marcus,4100400,41008,secure
27,1,Trey,2328200,23286,secure
27,2,Will,4320500,43210,secure
27,3,George,2574000,25744,secure
27,4,Jess,2603200,26037,secure
28,0,Marcus,2385300,23857,secure
28,1,Trey,3644300,36447,secure
28,2,Will,2810600,28111,secure
