run,candidate_idx,candidate_name,duration_ns,cpu_cycles,system
0,0,Marcus,2701900,27024,parallel
0,1,Trey,2682500,26831,parallel
0,2,Will,2852400,28527,parallel
0,3,George,2480000,24804,parallel
0,4,Jess,2698600,26991,parallel
1,0,Marcus,2901100,29014,parallel
1,1,Trey,2322400,23229,parallel
1,2,Will,3007400,30077,parallel
1,3,George,2354700,23550,parallel
1,4,Jess,2528300,25289,parallel
2,0,Marcus,2431000,24314,parallel
2,1,Trey,2668800,26691,parallel
2,2,Will,2947100,29475,parallel
2,3,George,2305000,23054,parallel
2,4,Jess,2284100,22845,parallel
3,0,Marcus,3218300,32186,parallel
3,1,Trey,2470600,24709,parallel
3,2,Will,2445500,24459,parallel
3,3,George,2370600,23709,parallel
3,4,Jess,3062700,30633,parallel
4,0,Marcus,2693000,26932,parallel
4,1,Trey,2381400,23818,parallel
4,2,Will,2319700,23200,parallel
4,3,George,3432500,34327,parallel
4,4,Jess,3423500,34238,parallel
5,0,Marcus,2745400,27460,parallel
5,1,Trey,2683300,26838,parallel
5,2,Will,2920700,29211,parallel
5,3,George,2851100,28515,parallel
5,4,Jess,2691100,26915,parallel
6,0,Marcus,2443900,24443,parallel
6,1,Trey,2402000,24025,parallel
6,2,Will,2406300,24066,parallel
6,3,George,2286900,22873,parallel
6,4,Jess,2625300,26258,parallel
7,0,Marcus,3400600,34012,parallel
7,1,Trey,2379300,23797,parallel
7,2,Will,3474900,34753,parallel
7,3,George,2491000,24913,parallel
7,4,Jess,2306700,23071,parallel
8,0,Marcus,3303300,33037,parallel
8,1,Trey,3292100,32926,parallel
8,2,Will,2974600,29751,parallel
8,3,George,3583800,35842,parallel
8,4,Jess,2996200,29966,parallel
9,0,Marcus,3171100,31716,parallel
9,1,Trey,3329400,33297,parallel
9,2,Will,2374400,23749,parallel
9,3,George,3824300,38246,parallel
9,4,Jess,3161900,31624,parallel
10,0,Marcus,2427200,24276,parallel
10,1,Trey,3319000,33194,parallel
10,2,Will,3334400,33348,parallel
10,3,George,2614400,26149,parallel
10,4,Jess,2918200,29188,parallel
11,0,Marcus,3518600,35190,parallel
11,1,Trey,3953300,39536,parallel
11,2,Will,2555300,25556,parallel
11,3,George,2925100,29256,parallel
11,4,Jess,3220400,32208,parallel
12,0,Marcus,3628200,36286,parallel
12,1,Trey,2654900,26554,parallel
12,2,Will,3551400,35519,parallel
12,3,George,2385300,23858,parallel
12,4,Jess,2306500,23069,parallel
13,0,Marcus,2400600,24010,parallel
13,1,Trey,4077200,40776,parallel
13,2,Will,2361100,23614,parallel
13,3,George,3721900,37224,parallel
13,4,Jess,2917800,29183,parallel
14,0,Marcus,3043200,30435,parallel
14,1,Trey,2691100,26915,parallel
14,2,Will,2399800,24003,parallel
14,3,George,3068600,30690,parallel
14,4,Jess,2447700,24481,parallel
15,0,Marcus,2650700,26510,parallel
15,1,Trey,2477300,24777,parallel
15,2,Will,2323500,23238,parallel
15,3,George,2497200,24976,parallel
15,4,Jess,2413600,24140,parallel
16,0,Marcus,2775800,27762,parallel
16,1,Trey,2263800,22641,parallel
16,2,Will,2767500,27678,parallel
16,3,George,2997700,29981,parallel
16,4,Jess,2791600,27920,parallel
17,0,Marcus,2679500,26800,parallel
17,1,Trey,3415500,34160,parallel
17,2,Will,2807300,28077,parallel
17,3,George,4030900,40314,parallel
17,4,Jess,3424100,34245,parallel
18,0,Marcus,3393100,33933,parallel
18,1,Trey,4437500,44380,parallel
18,2,Will,3891600,38920,parallel
18,3,George,3943600,39442,parallel
18,4,Jess,4144400,41447,parallel
19,0,Marcus,3824300,38247,parallel
19,1,Trey,2455900,24563,parallel
19,2,Will,3799400,37998,parallel
19,3,George,2355800,23562,parallel
19,4,Jess,2423200,24238,parallel
20,0,Marcus,2380100,23805,parallel
20,1,Trey,2296800,22972,parallel
20,2,Will,2339700,23401,parallel
20,3,George,3376700,33770,parallel
20,4,Jess,3295800,32962,parallel
21,0,Marcus,3101000,31014,parallel
21,1,Trey,3158000,31584,parallel
21,2,Will,3090100,30904,parallel
21,3,George,3022300,30228,parallel
21,4,Jess,3190700,31911,parallel
22,0,Marcus,2928900,29294,parallel
22,1,Trey,3673300,36737,parallel
22,2,Will,3125500,31258,parallel
22,3,George,3658800,36593,parallel
22,4,Jess,2751000,27513,parallel
23,0,Marcus,2411600,24120,parallel
23,1,Trey,2422200,24226,parallel
23,2,Will,3186400,31868,parallel
23,3,George,2752100,27524,parallel
23,4,Jess,2349900,23503,parallel
24,0,Marcus,2492500,24930,parallel
24,1,Trey,2269300,22695,parallel
24,2,Will,2898700,28993,parallel
24,3,George,3287500,32878,parallel
24,4,Jess,3132200,31326,parallel
25,0,Marcus,2262200,22626,parallel
25,1,Trey,2281300,22817,parallel
25,2,Will,2305900,23063,parallel
25,3,George,2282000,22822,parallel
25,4,Jess,2262800,22631,parallel
26,0,Marcus,2374700,23751,parallel
26,1,Trey,2469000,24694,parallel
26,2,Will,2387400,23877,parallel
26,3,George,2345300,23457,parallel
26,4,Jess,2314200,23146,parallel
27,0,Marcus,3017700,30182,parallel
27,1,Trey,2795800,27961,parallel
27,2,Will,2755100,27555,parallel
27,3,George,3044200,30445,parallel
27,4,Jess,2304300,23046,parallel
28,0,Marcus,2305500,23058,parallel
28,1,Trey,2325200,23256,parallel
28,2,Will,2316100,23165,parallel
28,3,George,3107100,31076,parallel
28,4,Jess,3086000,30865,parallel
29,0,Marcus,2484900,24850,parallel
29,1,Trey,2321200,23216,parallel
29,2,Will,2351400,23518,parallel
29,3,George,2420400,24208,parallel
29,4,Jess,2295100,22954,parallel
30,0,Marcus,2287600,22880,parallel
30,1,Trey,2664000,26643,parallel
30,2,Will,2292000,22923,parallel
30,3,George,2772200,27726,parallel
30,4,Jess,3156800,31572,parallel
31,0,Marcus,3271800,32722,parallel
31,1,Trey,2344700,23451,parallel
31,2,Will,3535000,35354,parallel
31,3,George,3048900,30493,parallel
31,4,Jess,2834400,28347,parallel
32,0,Marcus,2644600,26450,parallel
32,1,Trey,3301500,33020,parallel
32,2,Will,2635900,26362,parallel
32,3,George,3371700,33721,parallel
32,4,Jess,2295000,22953,parallel
33,0,Marcus,2784400,27848,parallel
33,1,Trey,2379900,23802,parallel
33,2,Will,2785600,27861,parallel
33,3,George,2769100,27695,parallel
33,4,Jess,2830700,28311,parallel
34,0,Marcus,2271100,22715,parallel
34,1,Trey,2289900,22903,parallel
34,2,Will,2350600,23510,parallel
34,3,George,3761000,37612,parallel
34,4,Jess,3753400,37539,parallel
35,0,Marcus,2277500,22779,parallel
35,1,Trey,2273000,22734,parallel
35,2,Will,2437400,24377,parallel
35,3,George,2298400,22988,parallel
35,4,Jess,2405300,24057,parallel
36,0,Marcus,2533200,25337,parallel
36,1,Trey,3043800,30441,parallel
36,2,Will,2692200,26927,parallel
36,3,George,2542100,25425,parallel
36,4,Jess,2790200,27905,parallel
37,0,Marcus,2425100,24255,parallel
37,1,Trey,2650400,26504,parallel
37,2,Will,2582200,25826,parallel
37,3,George,2762400,27627,parallel
37,4,Jess,2533500,25337,parallel
38,0,Marcus,2747100,27474,parallel
38,1,Trey,3234600,32350,parallel
38,2,Will,3205400,32057,parallel
38,3,George,2839600,28399,parallel
38,4,Jess,3364800,33652,parallel
39,0,Marcus,2872400,28729,parallel
39,1,Trey,2472500,24727,parallel
39,2,Will,2299200,22996,parallel
39,3,George,2295100,22953,parallel
39,4,Jess,2861000,28616,parallel
40,0,Marcus,3311800,33122,parallel
40,1,Trey,2810700,28112,parallel
40,2,Will,2315500,23158,parallel
40,3,George,3331000,33313,parallel
