run,candidate_idx,candidate_name,duration_ns,cpu_cycles,heap_allocs,heap_bytes,system
0,0,Marcus,2392600,23930,79,29880,sequential
0,1,Trey,2314900,23152,77,29824,sequential
0,2,Will,2284800,22851,77,29824,sequential
0,3,George,2593100,25935,77,29824,sequential
0,4,Jess,2270200,22707,77,29824,sequential
1,0,Marcus,2510000,25104,77,29824,sequential
1,1,Trey,2351200,23516,77,29824,sequential
1,2,Will,2727100,27276,77,29824,sequential
1,3,George,2289600,22899,77,29824,sequential
1,4,Jess,2517400,25178,77,29824,sequential
2,0,Marcus,3811500,38120,77,29824,sequential
2,1,Trey,2613000,26134,77,29824,sequential
2,2,Will,2952000,29525,77,29824,sequential
2,3,George,2649800,26504,77,29824,sequential
2,4,Jess,2592900,25932,77,29824,sequential
3,0,Marcus,2962000,29624,77,29824,sequential
3,1,Trey,2713500,27138,77,29824,sequential
3,2,Will,2508700,25090,77,29824,sequential
3,3,George,2503100,25034,77,29824,sequential
3,4,Jess,2365800,23662,77,29824,sequential
4,0,Marcus,2497400,24978,77,29824,sequential
4,1,Trey,2288300,22886,77,29824,sequential
4,2,Will,3002600,30031,77,29824,sequential
4,3,George,2291100,22916,77,29824,sequential
4,4,Jess,2403400,24040,77,29824,sequential
5,0,Marcus,2308800,23090,77,29824,sequential
5,1,Trey,2354400,23548,77,29824,sequential
5,2,Will,2575700,25761,77,29824,sequential
5,3,George,2298400,22987,77,29824,sequential
5,4,Jess,2379600,23800,77,29824,sequential
6,0,Marcus,2636200,26366,77,29824,sequential
6,1,Trey,2322300,23227,77,29824,sequential
6,2,Will,2307400,23079,77,29824,sequential
6,3,George,2329800,23302,77,29824,sequential
6,4,Jess,2328000,23285,77,29824,sequential
7,0,Marcus,2366400,23668,77,29824,sequential
7,1,Trey,2291900,22923,77,29824,sequential
7,2,Will,2542900,25432,77,29824,sequential
7,3,George,2622100,26226,77,29824,sequential
7,4,Jess,2457000,24573,77,29824,sequential
8,0,Marcus,2707200,27077,77,29824,sequential
8,1,Trey,2313400,23138,77,29824,sequential
8,2,Will,2428500,24288,77,29824,sequential
8,3,George,2280000,22804,77,29824,sequential
8,4,Jess,2528500,25289,77,29824,sequential
9,0,Marcus,2313300,23136,77,29824,sequential
9,1,Trey,2301400,23017,77,29824,sequential
9,2,Will,2331000,23313,77,29824,sequential
9,3,George,2321300,23218,77,29824,sequential
9,4,Jess,2376100,23764,77,29824,sequential
10,0,Marcus,2474300,24747,77,29824,sequential
10,1,Trey,2376700,23771,82,32992,sequential
10,2,Will,2347900,23482,77,29824,sequential
10,3,George,2392100,23925,77,29824,sequential
10,4,Jess,2363200,23636,77,29824,sequential
11,0,Marcus,2332000,23325,77,29824,sequential
11,1,Trey,2347400,23478,77,29824,sequential
11,2,Will,2270100,22705,77,29824,sequential
11,3,George,2372800,23731,77,29824,sequential
11,4,Jess,2415600,24162,77,29824,sequential
12,0,Marcus,2341500,23419,77,29824,sequential
12,1,Trey,2382800,23831,77,29824,sequential
12,2,Will,2387700,23880,77,29824,sequential
12,3,George,2427900,24284,77,29824,sequential
12,4,Jess,2305800,23062,77,29824,sequential
13,0,Marcus,2298100,22984,77,29824,sequential
13,1,Trey,2513300,25137,77,29824,sequential
13,2,Will,2424800,24251,77,29824,sequential
13,3,George,2345400,23458,77,29824,sequential
13,4,Jess,2313800,23141,77,29824,sequential
14,0,Marcus,2340600,23409,77,29824,sequential
14,1,Trey,2470900,24713,77,29824,sequential
14,2,Will,2323100,23236,77,29824,sequential
14,3,George,2326000,23265,77,29824,sequential
14,4,Jess,2293700,22941,77,29824,sequential
15,0,Marcus,2625700,26260,77,29824,sequential
15,1,Trey,2386000,23863,77,29824,sequential
15,2,Will,2298400,22988,77,29824,sequential
15,3,George,2346200,23465,77,29824,sequential
15,4,Jess,2311300,23117,77,29824,sequential
16,0,Marcus,2355200,23556,77,29824,sequential
16,1,Trey,2484800,24851,77,29824,sequential
16,2,Will,2260200,22606,77,29824,sequential
16,3,George,2329200,23298,77,29824,sequential
16,4,Jess,2309100,23095,77,29824,sequential
17,0,Marcus,2425800,24261,77,29824,sequential
17,1,Trey,2343500,23438,77,29824,sequential
17,2,Will,2349600,23501,77,29824,sequential
17,3,George,2764400,27648,77,29824,sequential
17,4,Jess,2311900,23122,77,29824,sequential
18,0,Marcus,2305700,23063,77,29824,sequential
18,1,Trey,2434300,24348,77,29824,sequential
18,2,Will,2295700,22961,77,29824,sequential
18,3,George,2349200,23496,77,29824,sequential
18,4,Jess,2324600,23248,77,29824,sequential
19,0,Marcus,2357000,23573,77,29824,sequential
19,1,Trey,2302100,23025,77,29824,sequential
19,2,Will,2313300,23136,77,29824,sequential
19,3,George,2314800,23152,77,29824,sequential
19,4,Jess,2302400,23028,77,29824,sequential
20,0,Marcus,2727700,27281,77,29824,sequential
20,1,Trey,2300400,23007,77,29824,sequential
20,2,Will,2296600,22970,77,29824,sequential
20,3,George,3152100,31526,77,29824,sequential
20,4,Jess,2305900,23064,77,29824,sequential
21,0,Marcus,2364400,23649,77,29824,sequential
21,1,Trey,2683600,26841,77,29824,sequential
21,2,Will,2303800,23041,77,29824,sequential
21,3,George,2299700,23002,77,29824,sequential
21,4,Jess,2311400,23118,77,29824,sequential
22,0,Marcus,2291500,22917,77,29824,sequential
22,1,Trey,2367500,23679,77,29824,sequential
22,2,Will,2626100,26265,77,29824,sequential
22,3,George,2340600,23410,77,29824,sequential
22,4,Jess,2300400,23008,77,29824,sequential
23,0,Marcus,2452900,24532,77,29824,sequential
23,1,Trey,2325300,23257,77,29824,sequential
23,2,Will,2290400,22908,77,29824,sequential
23,3,George,2518700,25194,77,29824,sequential
23,4,Jess,2277800,22782,77,29824,sequential
24,0,Marcus,2299700,23001,77,29824,sequential
24,1,Trey,2290100,22904,77,29824,sequential
24,2,Will,2333000,23335,77,29824,sequential
24,3,George,2339900,23404,77,29824,sequential
24,4,Jess,2492300,24929,77,29824,sequential
25,0,Marcus,2411600,24119,77,29824,sequential
25,1,Trey,2522300,25227,77,29824,sequential
25,2,Will,2567100,25676,77,29824,sequential
25,3,George,2339200,23398,77,29824,sequential
25,4,Jess,2657200,26576,77,29824,sequential
26,0,Marcus,2648500,26490,77,29824,sequential
26,1,Trey,2713200,27135,77,29824,sequential
26,2,Will,2397800,23983,77,29824,sequential
26,3,George,2388100,23885,77,29824,sequential
26,4,Jess,2310100,23105,77,29824,sequential
27,0,Marcus,2559500,25601,77,29824,sequential
27,1,Trey,2480600,24810,77,29824,sequential
27,2,Will,2413600,24140,77,29824,sequential
27,3,George,2316500,23175,77,29824,sequential
27,4,Jess,2542200,25427,77,29824,sequential
28,0,Marcus,2568200,25686,77,29824,sequential
28,1,Trey,2512100,25127,77,29824,sequential
28,2,Will,2538200,25388,77,29824,sequential
28,3,George,2338300,23386,77,29824,sequential
28,4,Jess,2753400,27540,77,29824,sequential
29,0,Marcus,2356200,23566,77,29824,sequential
29,1,Trey,2458200,24587,77,29824,sequential
29,2,Will,2515500,25159,77,29824,sequential
29,3,George,2768800,27693,77,29824,sequential
29,4,Jess,2474900,24754,77,29824,sequential
30,0,Marcus,2702500,27029,77,29824,sequential
30,1,Trey,2666700,26671,77,29824,sequential
30,2,Will,2441400,24417,77,29824,sequential
30,3,George,2389200,23896,77,29824,sequential
30,4,Jess,2845700,28460,77,29824,sequential
31,0,Marcus,2733100,27335,77,29824,sequential
31,1,Trey,2755800,27562,77,29824,sequential
