metric,comparison,scope,n_a,n_b,mean_a,mean_b,t_stat,p_value,leakage
duration_ns,sequential vs parallel,all candidates pooled,50000,50000,2560151.11,2710854.818,-67.75245256453665,0.0,True
cpu_cycles,sequential vs parallel,all candidates pooled,50000,50000,25605.76094,27116.05916,-67.86213248417482,0.0,True
duration_ns,sequential vs secure,all candidates pooled,50000,50000,2560151.11,2963956.458,-150.2285809078743,0.0,True
cpu_cycles,sequential vs secure,all candidates pooled,50000,50000,25605.76094,29666.81382,-150.40978151363927,0.0,True
duration_ns,parallel vs secure,all candidates pooled,50000,50000,2710854.818,2963956.458,-78.07760557766517,0.0,True
cpu_cycles,parallel vs secure,all candidates pooled,50000,50000,27116.05916,29666.81382,-78.42590070694288,0.0,True
duration_ns,sequential vs parallel,candidate: Marcus,10000,10000,2559335.11,2707532.71,-29.957325561915887,3.784649222375394e-191,True
cpu_cycles,sequential vs parallel,candidate: Marcus,10000,10000,25597.6028,27084.7389,-30.03730049045764,3.987412912672463e-192,True
duration_ns,sequential vs secure,candidate: Marcus,10000,10000,2559335.11,2969432.3,-68.30512780465828,0.0,True
cpu_cycles,sequential vs secure,candidate: Marcus,10000,10000,25597.6028,29717.2902,-68.44743737876827,0.0,True
duration_ns,parallel vs secure,candidate: Marcus,10000,10000,2707532.71,2969432.3,-36.25584035856885,2.1474905756215303e-278,True
cpu_cycles,parallel vs secure,candidate: Marcus,10000,10000,27084.7389,29717.2902,-36.368291800689896,4.77283043904104e-280,True
duration_ns,sequential vs parallel,candidate: Trey,10000,10000,2562043.68,2714588.78,-30.475334623814287,1.8653319521216536e-197,True
cpu_cycles,sequential vs parallel,candidate: Trey,10000,10000,25624.7495,27152.805,-30.512316207935267,6.5012976028054364e-198,True
duration_ns,sequential vs secure,candidate: Trey,10000,10000,2562043.68,2961607.98,-67.20875363781047,0.0,True
cpu_cycles,sequential vs secure,candidate: Trey,10000,10000,25624.7495,29644.4758,-67.23800137709394,0.0,True
duration_ns,parallel vs secure,candidate: Trey,10000,10000,2714588.78,2961607.98,-34.186249803065756,1.013681786205479e-248,True
cpu_cycles,parallel vs secure,candidate: Trey,10000,10000,27152.805,29644.4758,-34.34585560512356,6.0351923319762676e-251,True
duration_ns,sequential vs parallel,candidate: Will,10000,10000,2559331.48,2705979.28,-29.84649762111446,8.430149594377483e-190,True
cpu_cycles,sequential vs parallel,candidate: Will,10000,10000,25597.5471,27066.4128,-29.882733253259843,3.0529748081142847e-190,True
duration_ns,sequential vs secure,candidate: Will,10000,10000,2559331.48,2963265.15,-66.96342933167824,0.0,True
cpu_cycles,sequential vs secure,candidate: Will,10000,10000,25597.5471,29654.1459,-67.07804589684861,0.0,True
duration_ns,parallel vs secure,candidate: Will,10000,10000,2705979.28,2963265.15,-35.58530780434078,1.5205490276488898e-268,True
cpu_cycles,parallel vs secure,candidate: Will,10000,10000,27066.4128,29654.1459,-35.72117397588582,1.6501305757650928e-270,True
duration_ns,sequential vs parallel,candidate: George,10000,10000,2561376.91,2708933.38,-29.67946792997739,9.510624484676864e-188,True
cpu_cycles,sequential vs parallel,candidate: George,10000,10000,25617.9861,27097.3703,-29.734986207971478,2.0233713999162413e-188,True
duration_ns,sequential vs secure,candidate: George,10000,10000,2561376.91,2970438.43,-67.73221718995524,0.0,True
cpu_cycles,sequential vs secure,candidate: George,10000,10000,25617.9861,29738.2847,-67.74627457756392,0.0,True
duration_ns,parallel vs secure,candidate: George,10000,10000,2708933.38,2970438.43,-35.975822650887785,2.8080210186916736e-274,True
cpu_cycles,parallel vs secure,candidate: George,10000,10000,27097.3703,29738.2847,-36.14411909178693,1.0115385236423954e-276,True
duration_ns,sequential vs parallel,candidate: Jess,10000,10000,2558668.37,2717239.94,-31.52325241685371,1.042280696192961e-210,True
cpu_cycles,sequential vs parallel,candidate: Jess,10000,10000,25590.9192,27178.9688,-31.560238107096286,3.5119498942065516e-211,True
duration_ns,sequential vs secure,candidate: Jess,10000,10000,2558668.37,2955038.43,-65.72401195036744,0.0,True
cpu_cycles,sequential vs secure,candidate: Jess,10000,10000,25590.9192,29579.8725,-65.83003917833362,0.0,True
duration_ns,parallel vs secure,candidate: Jess,10000,10000,2717239.94,2955038.43,-32.60182250957411,5.895573986750229e-227,True
cpu_cycles,parallel vs secure,candidate: Jess,10000,10000,27178.9688,29579.8725,-32.805439119060985,1.098089367863039e-229,True
duration_ns,Marcus vs Trey,within-parallel,10000,10000,2707532.71,2714588.78,-1.0984415213907626,0.27202496775891133,False
cpu_cycles,Marcus vs Trey,within-parallel,10000,10000,27084.7389,27152.805,-1.058806687375992,0.28970061913430395,False
duration_ns,Marcus vs Will,within-parallel,10000,10000,2707532.71,2705979.28,0.24464842933495004,0.806731172249452,False
cpu_cycles,Marcus vs Will,within-parallel,10000,10000,27084.7389,27066.4128,0.28841009881881113,0.7730358275408866,False
duration_ns,Marcus vs George,within-parallel,10000,10000,2707532.71,2708933.38,-0.21916659959891727,0.826522509418218,False
cpu_cycles,Marcus vs George,within-parallel,10000,10000,27084.7389,27097.3703,-0.19747025184347416,0.8434615656910822,False
duration_ns,Marcus vs Jess,within-parallel,10000,10000,2707532.71,2717239.94,-1.5091961526962239,0.13126446680281867,False
cpu_cycles,Marcus vs Jess,within-parallel,10000,10000,27084.7389,27178.9688,-1.46407542938684,0.14318906332399023,False
duration_ns,Trey vs Will,within-parallel,10000,10000,2714588.78,2705979.28,1.3449833232461939,0.17864588068044854,False
cpu_cycles,Trey vs Will,within-parallel,10000,10000,27152.805,27066.4128,1.348917695029723,0.17737868569855691,False
duration_ns,Trey vs George,within-parallel,10000,10000,2714588.78,2708933.38,0.8778795314496867,0.3800196458653704,False
