metric,comparison,scope,n_a,n_b,mean_a,mean_b,t_stat,p_value,leakage
cpu_cycles,Trey vs George,within-parallel,10000,10000,27152.805,27097.3703,0.8598988986892528,0.3898550847392052,False
duration_ns,Trey vs Jess,within-parallel,10000,10000,2714588.78,2717239.94,-0.4089434396401884,0.6825855484815372,False
cpu_cycles,Trey vs Jess,within-parallel,10000,10000,27152.805,27178.9688,-0.4033965402302492,0.6866608444165997,False
duration_ns,Will vs George,within-parallel,10000,10000,2705979.28,2708933.38,-0.4638786679932561,0.6427397269450819,False
cpu_cycles,Will vs George,within-parallel,10000,10000,27066.4128,27097.3703,-0.4858000153220699,0.6271142869363358,False
duration_ns,Will vs Jess,within-parallel,10000,10000,2705979.28,2717239.94,-1.7568519168110286,0.078958365418184,False
cpu_cycles,Will vs Jess,within-parallel,10000,10000,27066.4128,27178.9688,-1.7553537365739476,0.07921413976641221,False
duration_ns,George vs Jess,within-parallel,10000,10000,2708933.38,2717239.94,-1.2877522674711277,0.19784711666458538,False
cpu_cycles,George vs Jess,within-parallel,10000,10000,27097.3703,27178.9688,-1.2642694409676878,0.20614807113702374,False
duration_ns,Marcus vs Trey,within-secure,10000,10000,2969432.3,2961607.98,0.9847742647730041,0.3247468796159436,False
cpu_cycles,Marcus vs Trey,within-secure,10000,10000,29717.2902,29644.4758,0.9123163866931213,0.361613188635742,False
duration_ns,Marcus vs Will,within-secure,10000,10000,2969432.3,2963265.15,0.7700654005611486,0.4412701953459641,False
cpu_cycles,Marcus vs Will,within-secure,10000,10000,29717.2902,29654.1459,0.786233631344194,0.43173994285255174,False
duration_ns,Marcus vs George,within-secure,10000,10000,2969432.3,2970438.43,-0.12559492582270132,0.9000538423201263,False
cpu_cycles,Marcus vs George,within-secure,10000,10000,29717.2902,29738.2847,-0.26067093747704706,0.7943489642629883,False
duration_ns,Marcus vs Jess,within-secure,10000,10000,2969432.3,2955038.43,1.7990561257473479,0.07202487404539418,False
cpu_cycles,Marcus vs Jess,within-secure,10000,10000,29717.2902,29579.8725,1.7105806033344506,0.08717407259367263,False
duration_ns,Trey vs Will,within-secure,10000,10000,2961607.98,2963265.15,-0.20794406156090828,0.8352747629820969,False
cpu_cycles,Trey vs Will,within-secure,10000,10000,29644.4758,29654.1459,-0.12079059290473042,0.9038581150281421,False
duration_ns,Trey vs George,within-secure,10000,10000,2961607.98,2970438.43,-1.1077351967695186,0.2679895207171631,False
cpu_cycles,Trey vs George,within-secure,10000,10000,29644.4758,29738.2847,-1.1684441452939105,0.2426415901961363,False
duration_ns,Trey vs Jess,within-secure,10000,10000,2961607.98,2955038.43,0.8251697826585244,0.40928505092806133,False
cpu_cycles,Trey vs Jess,within-secure,10000,10000,29644.4758,29579.8725,0.8067509934895536,0.4198195543168515,False
duration_ns,Will vs George,within-secure,10000,10000,2963265.15,2970438.43,-0.8927841506726311,0.3719835183985488,False
cpu_cycles,Will vs George,within-secure,10000,10000,29654.1459,29738.2847,-1.0415523851573225,0.29763184573275947,False
duration_ns,Will vs Jess,within-secure,10000,10000,2963265.15,2955038.43,1.025182752198807,0.30528936533046547,False
cpu_cycles,Will vs Jess,within-secure,10000,10000,29654.1459,29579.8725,0.9217756308203201,0.35665674117325813,False
duration_ns,George vs Jess,within-secure,10000,10000,2970438.43,2955038.43,1.918539260333429,0.05505688954274808,False
cpu_cycles,George vs Jess,within-secure,10000,10000,29738.2847,29579.8725,1.9604609003310416,0.049955806077090874,False
